iter	F1	Logloss
177	0.8709794843	0.3982570646
178	0.8708959476	0.3977886266
179	0.8710721824	0.3977250953
180	0.8711426963	0.3959433408
181	0.8710108394	0.3959007273
182	0.8712354911	0.3958281897
183	0.8712930601	0.3957738244
184	0.8711389027	0.3956958176
185	0.8711258726	0.3956178636
186	0.8712317631	0.3954835307
187	0.8714083045	0.3954205521
188	0.8715142637	0.3953378272
189	0.8714659799	0.3952029821
190	0.8718098353	0.3950917681
191	0.8716780034	0.3950143896
192	0.8719030012	0.3949316337
193	0.8718901301	0.3948623646
194	0.871841884	0.3947976991
195	0.8718772531	0.3947395911
196	0.8718643703	0.3946870989
197	0.8721120872	0.3936923612
198	0.8722182947	0.3936101879
199	0.8724081346	0.3935208281
200	0.8724789676	0.3934594847
201	0.8725597684	0.3933827192
202	0.8721798368	0.3932011135
203	0.8721315703	0.3931088108
204	0.8720832858	0.3930154416
205	0.872118726	0.3929846589
206	0.8721058758	0.392901863
207	0.8720930198	0.39282514
208	0.8725087581	0.3912679899
209	0.8725797105	0.3912372197
210	0.8727216499	0.3911870869
211	0.8727216499	0.3911095476
212	0.8727444278	0.3908312661
213	0.8729118172	0.3906845562
214	0.8732440158	0.3904818729
215	0.8732795332	0.3904357696
216	0.8733150535	0.3903345298
217	0.8734571634	0.3902490776
218	0.8735637761	0.3896305755
219	0.8735637761	0.3895696409
220	0.8736348658	0.3895308834
221	0.8736348658	0.3875856887
222	0.8737770798	0.387128528
223	0.8738837707	0.3861951968
224	0.8739904877	0.3861347604
225	0.8740260658	0.386058712
226	0.8740848087	0.3859981588
227	0.8741791959	0.3859177774
228	0.8740243411	0.3853986607
229	0.8742860368	0.3853450091
230	0.8745600852	0.3842574325
231	0.8745833944	0.3841977377
232	0.8745710735	0.3841533911
233	0.8747972482	0.3840813401
234	0.8746300505	0.3831162873
235	0.8748206332	0.3830612339
236	0.8752374474	0.3829445885
237	0.8753444952	0.3828619868
238	0.8753088097	0.3826998787
239	0.8753323404	0.3826241199
240	0.8756300842	0.3824714842
241	0.8757015106	0.3821090844
242	0.8758443983	0.3807116284
243	0.8758443983	0.3806524802
244	0.8760230735	0.3806004819
245	0.8760230735	0.3795164103
246	0.8760230735	0.3794578388
247	0.8759753158	0.3794056271
248	0.8758560422	0.3793842415
249	0.8760110643	0.3789236382
250	0.8759275401	0.3788696763
251	0.8761540877	0.3787689456
252	0.8761898508	0.3777020799
253	0.8762971578	0.3776699673
254	0.8763329326	0.3776359978
255	0.8763209871	0.3775800696
256	0.876404491	0.3774175359
257	0.8763090362	0.3773182142
258	0.8764641464	0.3772607489
259	0.8766192364	0.3771598322
260	0.8764641464	0.3771048876
261	0.8763686844	0.3770722096
262	0.8765238389	0.3769857882
263	0.8765119287	0.3769288104
264	0.8767745751	0.3768943573
265	0.876726883	0.3768278715
266	0.8765239257	0.3767693313
267	0.8764761653	0.376699488
268	0.8764761653	0.3766564225
269	0.8767389902	0.3765932848
270	0.8766554024	0.375429041
271	0.8767629798	0.3753810985
272	0.8765240127	0.3753253156
273	0.8764164418	0.375202661
274	0.8764881528	0.3751660705
275	0.8764762176	0.3751190397
276	0.8764284044	0.3750488873
277	0.8765838293	0.3749764852
278	0.8766795732	0.3748539493
279	0.8766436831	0.3747860935
280	0.8768827734	0.3746587464
281	0.8768109978	0.3739801046
282	0.8768109978	0.3739319765
283	0.8769782138	0.3735067907
284	0.8768705836	0.373032682
285	0.8768587365	0.372953766
286	0.8769305026	0.3729070343
287	0.8768350262	0.3728398832
288	0.8770381736	0.3727827661
289	0.8769186656	0.3727229593
290	0.8770263599	0.3726504781
291	0.8770622639	0.3725911137
292	0.8769186656	0.3725220545
293	0.8769545608	0.3724676753
294	0.8768350262	0.3724351418
295	0.8769186656	0.3723447177
296	0.8770981708	0.3708873994
297	0.8771699934	0.3708411227
298	0.8773613455	0.3707398005
299	0.877385532	0.3706752573
300	0.877385532	0.3706350328
301	0.8772300552	0.3705199364
302	0.8771222847	0.3704593292
303	0.8771941288	0.3704144451
304	0.8773737904	0.3703700393
305	0.8775652283	0.3702646297
306	0.8774816226	0.3701819023
307	0.8772424386	0.3701295445
308	0.8772783864	0.3700277298
309	0.877350291	0.3699684281
310	0.8773025717	0.3699072457
311	0.8773744976	0.369832118
312	0.8773025717	0.3697444717
313	0.8773627422	0.3693084104
314	0.8774706766	0.3677493317
315	0.8774706766	0.3676847878
316	0.8774229503	0.367610499
317	0.8773032274	0.3675481349
318	0.8773752059	0.3674989068
319	0.8774111996	0.3674685447
320	0.8772554554	0.3674148779
321	0.8771356792	0.3673275028
322	0.8773274436	0.3672368991
323	0.8773876821	0.3671446109
324	0.8774597096	0.3670998317
325	0.8774119353	0.3670446687
326	0.8774119353	0.3669853406
327	0.8777722984	0.3668926381
328	0.8778688021	0.3653699699
329	0.8778932109	0.365300386
330	0.877881545	0.3652676876
331	0.8778932109	0.3651763655
332	0.87800146	0.3650902584
333	0.878037549	0.3650377792
334	0.8783018293	0.3649588772
335	0.8781213494	0.3645386603
336	0.8780736409	0.3644792448
337	0.8780259144	0.3644236788
338	0.8780981169	0.3643736322
339	0.8783509193	0.3634970414
340	0.8784231753	0.3634303334
341	0.8782670901	0.3633859669
342	0.8784839052	0.3632911367
343	0.8784839052	0.3631937241
344	0.8787846336	0.3631031254
345	0.8787369914	0.3630134687
346	0.8786169962	0.3615844005
347	0.8788340369	0.361450232
348	0.8787140096	0.3613646492
349	0.8787863782	0.3612918095
350	0.878883494	0.3612205046
351	0.8789559081	0.3611511227
352	0.8790645518	0.361099523
353	0.8792570648	0.3610502863
354	0.8791484001	0.3604920039
355	0.8792932924	0.3604252947
356	0.8793771081	0.3603700935
357	0.8795582811	0.3599724355
358	0.8793906439	0.3599015608
359	0.8794631416	0.3598459658
360	0.8795243286	0.3597474175
361	0.8794404594	0.3597027918
362	0.8796581193	0.3594080203
363	0.8797306966	0.3593655152
364	0.8799485002	0.3593134738
365	0.8799848113	0.3592669941
366	0.8800211254	0.3592059765
367	0.8799485002	0.3591436024
368	0.8799848113	0.35868671
369	0.8799735811	0.3586363444
370	0.879744429	0.3585599632
371	0.8798896948	0.3575162318
372	0.8800350087	0.357470498
373	0.8802167185	0.3563034348
374	0.8802530694	0.3562512866
375	0.8804712383	0.3561665608
376	0.8808097469	0.3560927985
377	0.8807369738	0.3560438129
378	0.8809299528	0.3559884696
379	0.8809663449	0.3559434634
380	0.8811957236	0.3558887536
381	0.8810645477	0.355770514
382	0.8813194959	0.3557292956
383	0.8811882795	0.35568023
384	0.8813449962	0.355621829
385	0.8810934211	0.355552791
386	0.8810934211	0.3555116617
387	0.8812137526	0.3554484607
388	0.8812866579	0.3553955743
389	0.8813595753	0.3553459093
390	0.8813486351	0.3553001994
391	0.8815054462	0.355249472
392	0.8815675077	0.3552009152
393	0.881603997	0.3551537618
394	0.8815201161	0.3551121193
395	0.8815092059	0.3550317039
396	0.8815348009	0.3538906766
397	0.8815348009	0.3538460354
398	0.8814143425	0.3535368221
399	0.8814399214	0.3524425393
400	0.8811878695	0.3523772835
401	0.8810927789	0.3522711681
402	0.8811658604	0.3522157051
403	0.8809976157	0.3520657099
404	0.881034165	0.3520068777
405	0.8811438309	0.3519516234
406	0.8811072726	0.351544683
407	0.8811072726	0.3514953069
